GeneName,URL
ABA2,HTTPS://biocyc.org/gene?orgid=META&id=ABA2
atfA,HTTPS://biocyc.org/gene?orgid=META&id=ACIAD0832
g-pin2,HTTPS://biocyc.org/gene?orgid=META&id=AG11
f-&delta;sel1,HTTPS://biocyc.org/gene?orgid=META&id=AG4
f-&gamma;hum,HTTPS://biocyc.org/gene?orgid=META&id=AG5
g-cam,HTTPS://biocyc.org/gene?orgid=META&id=AG6
g-&beta;phe,HTTPS://biocyc.org/gene?orgid=META&id=AG8
g-teo,HTTPS://biocyc.org/gene?orgid=META&id=AG9
AGT1,HTTPS://biocyc.org/gene?orgid=META&id=AGT1
KCS1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G01120
AT1G01220,HTTPS://biocyc.org/gene?orgid=META&id=AT1G01220
CYP703A2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G01280
Cnx3,HTTPS://biocyc.org/gene?orgid=META&id=AT1G01290
ACS2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G01480
ACH2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G01710
PKSA,HTTPS://biocyc.org/gene?orgid=META&id=AT1G02050
CER1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G02205
SAM1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G02500
TPK1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G02880
GSTF6,HTTPS://biocyc.org/gene?orgid=META&id=AT1G02930
ISA2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G03310
HEMF1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G03475
PORC,HTTPS://biocyc.org/gene?orgid=META&id=AT1G03630
AAO4,HTTPS://biocyc.org/gene?orgid=META&id=AT1G04580
HCAR,HTTPS://biocyc.org/gene?orgid=META&id=AT1G04620
KAO1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G05160
UGT75B2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G05530
UGT75B1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G05560
5PTase13,HTTPS://biocyc.org/gene?orgid=META&id=AT1G05630
UGT74E2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G05680
ACX3,HTTPS://biocyc.org/gene?orgid=META&id=AT1G06290
CalS7,HTTPS://biocyc.org/gene?orgid=META&id=AT1G06490
CRTISO,HTTPS://biocyc.org/gene?orgid=META&id=AT1G06820
SMO2-2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G07420
PsaO,HTTPS://biocyc.org/gene?orgid=META&id=AT1G08380
SDH6,HTTPS://biocyc.org/gene?orgid=META&id=AT1G08480
FATB,HTTPS://biocyc.org/gene?orgid=META&id=AT1G08510
CHLD,HTTPS://biocyc.org/gene?orgid=META&id=AT1G08520
NPQ1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G08550
CSD1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G08830
AMI1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G08980
AtATP-PRT2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G09795
HEMA2,HTTPS://biocyc.org/gene?orgid=META&id=AT1G09940
ACLA-1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G10670
GWD,HTTPS://biocyc.org/gene?orgid=META&id=AT1G10760
Z-ISO,HTTPS://biocyc.org/gene?orgid=META&id=AT1G10830
CYP51G1,HTTPS://biocyc.org/gene?orgid=META&id=AT1G11680
